entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url,confidence,source_collection_status,source_collection_status_since,source_collection_status_note,source_last_verified_at
ca-refugee-gov-assisted--br,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BR,Brazil,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bs,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BS,Bahamas,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bt,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BT,Bhutan,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bw,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BW,Botswana,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--by,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BY,Belarus,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bz,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BZ,Belize,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ca,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,CA,Canada,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--cd,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,CD,Congo - Kinshasa,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--cf,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,CF,Central African Republic,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--cg,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,CG,Congo - Brazzaville,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
